cgpa,internships,projects,aptitude_score,technical_skill_score,placed
6.87,2,1,89.07,1,0
9.75,3,3,49.94,1,1
8.66,1,4,62.4,12,1
7.99,3,4,60.7,12,1
5.78,3,1,45.3,5,0
5.78,2,0,57.78,3,0
5.29,3,3,33.11,12,1
9.33,2,4,49.45,10,1
8.01,0,1,87.17,9,1
8.54,0,4,49.92,12,1
5.1,2,3,87.27,2,0
9.85,0,3,67.21,2,0
9.16,1,2,91.59,2,0
6.06,3,1,70.23,5,0
5.91,1,3,32.08,13,1
5.92,3,2,77.28,7,1
6.52,0,2,33.14,10,0
7.62,1,4,61.54,6,1
7.16,0,4,95.06,13,1
6.46,3,2,41.56,3,0
8.06,2,4,57.29,10,1
5.7,2,3,81.09,11,1
6.46,1,0,91.76,3,0
6.83,0,3,76.97,10,1
7.28,0,2,48.07,9,0
8.93,1,2,77.22,10,1
6.0,2,3,50.77,10,1
7.57,3,4,80.29,13,1
7.96,1,4,96.78,10,1
5.23,3,2,80.5,1,0
8.04,2,1,90.4,13,1
5.85,0,4,30.15,0,0
5.33,2,3,80.23,8,0
9.74,1,4,88.07,11,1
9.83,0,3,32.84,11,1
9.04,1,2,91.01,1,0
6.52,1,4,47.97,12,1
5.49,2,3,76.57,7,0
8.42,1,2,86.02,8,1
7.2,2,1,76.39,3,0
5.61,0,3,36.46,7,0
7.48,2,1,71.74,8,1
5.17,0,1,68.47,9,0
9.55,2,0,93.02,9,1
6.29,3,4,58.3,4,0
8.31,3,3,52.48,12,1
6.56,1,1,82.49,13,1
7.6,2,0,58.89,6,0
7.73,2,2,75.23,9,1
5.92,0,3,75.25,3,0
9.85,1,1,92.16,0,0
8.88,2,4,71.91,2,1
9.7,1,0,65.15,4,0
9.47,3,1,39.72,2,1
7.99,2,4,38.1,11,1
9.61,2,1,40.8,12,1
5.44,1,3,42.03,10,0
5.98,2,3,74.65,6,0
5.23,1,3,81.87,11,0
6.63,2,0,67.1,8,0
6.94,0,3,88.03,11,1
6.36,1,4,99.39,5,0
9.14,2,1,87.4,12,1
6.78,3,2,78.64,9,1
6.4,2,4,67.27,0,0
7.71,3,4,61.42,6,1
5.7,3,3,35.91,2,0
9.01,0,0,57.96,4,0
5.37,1,1,93.71,9,0
9.93,2,0,86.56,3,1
8.86,0,1,45.12,9,1
5.99,2,1,62.66,4,0
5.03,3,0,87.17,4,0
9.08,1,4,34.72,5,1
8.53,2,1,57.12,13,1
8.65,2,0,89.63,9,1
8.86,3,1,58.27,11,1
5.37,2,2,35.43,9,0
6.79,2,4,67.98,12,1
5.58,3,3,90.32,12,1
9.32,0,1,71.32,10,1
8.12,3,2,45.84,5,1
6.65,0,3,56.9,7,0
5.32,1,3,61.51,7,0
6.55,0,1,70.55,10,0
6.63,0,0,83.15,8,0
8.65,1,1,36.92,7,0
8.19,0,2,92.28,12,1
9.44,3,3,30.86,10,1
7.36,0,1,55.9,1,0
5.6,1,0,31.92,13,0
8.57,3,1,57.51,13,1
8.8,1,4,66.81,11,1
7.81,1,0,65.82,9,0
8.85,2,2,41.59,11,1
7.47,2,3,75.2,10,1
7.61,1,1,33.13,0,0
7.14,1,0,83.33,9,0
5.13,1,4,96.27,1,0
5.54,2,0,53.78,1,0
5.16,2,4,66.21,11,1
8.18,0,2,56.52,2,0
6.57,0,3,30.47,9,0
7.54,1,2,57.01,6,0
9.54,3,1,85.42,1,1
6.25,3,0,71.72,13,1
7.05,2,4,37.09,0,0
8.78,2,4,89.3,13,1
6.14,2,0,67.18,5,0
5.38,1,0,88.92,8,0
6.45,3,1,70.62,2,0
5.81,0,2,69.18,5,0
9.65,1,4,37.37,2,1
9.04,0,1,41.72,13,1
8.17,0,2,98.04,12,1
9.36,1,1,45.99,0,0
9.02,0,4,98.42,13,1
5.93,3,0,67.23,12,1
9.46,0,0,39.51,11,1
7.7,3,2,36.95,4,0
9.04,3,3,44.62,9,1
