Student_ID,CGPA,10th_Percentage,12th_Percentage,Backlogs,Internship,Projects,Technical_Skills,Communication_Skills,Aptitude_Score,Attendance,Placement
1,6.87,84.91,59.26,1,0,0,8,5,96,89.98,Placed
2,9.75,76.8,77.1,5,1,1,6,10,69,77.24,Not Placed
3,8.66,65.48,93.65,3,1,0,9,1,76,63.5,Not Placed
4,7.99,90.69,86.61,4,1,2,8,1,94,71.31,Not Placed
5,5.78,84.24,90.33,4,0,3,10,6,58,76.74,Not Placed
6,5.78,58.13,82.94,1,0,0,3,2,79,71.7,Not Placed
7,5.29,95.55,84.61,0,1,1,5,8,42,73.29,Not Placed
8,9.33,91.13,92.46,3,0,3,7,9,30,71.75,Not Placed
9,8.01,97.49,62.48,4,1,2,5,4,63,61.66,Not Placed
10,8.54,86.29,74.47,1,1,3,8,5,77,85.48,Placed
11,5.1,80.67,61.06,4,1,0,5,8,77,83.89,Not Placed
12,9.85,70.91,99.38,3,1,2,1,3,78,86.14,Not Placed
13,9.16,96.64,97.2,3,1,1,5,5,93,67.69,Not Placed
14,6.06,93.3,51.97,2,0,2,4,3,90,71.83,Not Placed
15,5.91,52.26,85.28,5,1,2,6,10,58,84.78,Not Placed
16,5.92,51.32,96.26,5,0,4,3,3,68,83.99,Not Placed
17,6.52,68.82,59.03,1,0,2,5,3,55,80.25,Not Placed
18,7.62,90.53,78.4,3,1,2,2,7,46,74.02,Not Placed
19,7.16,99.36,95.77,2,1,3,6,7,100,96.52,Placed
20,6.46,57.52,51.7,2,0,1,6,7,42,73.59,Not Placed
21,8.06,79.71,84.87,4,0,3,5,10,98,78.22,Not Placed
22,5.7,69.04,64.87,4,0,3,6,8,55,87.12,Not Placed
23,6.46,98.5,96.22,2,1,0,7,5,78,81.72,Not Placed
24,6.83,92.11,98.55,4,0,3,5,5,96,73.88,Not Placed
25,7.28,91.92,97.21,3,1,4,1,4,36,77.43,Not Placed
26,8.93,73.43,73.71,0,1,4,8,7,87,91.78,Placed
27,6.0,70.74,93.1,3,1,0,4,10,78,71.13,Not Placed
28,7.57,63.67,92.23,2,0,1,9,4,82,65.69,Placed
29,7.96,52.82,65.96,2,1,1,10,2,94,72.53,Not Placed
